Satisfied,Gender,Age,Age_Group,Customer_Type,Type_Travel,Seat_Class,Seat_Comfort,Catering,Cleanliness,Online_Support,Onboard_Service,Travel_Distance(km),delay(seconds),num_sat,ID
yes,F,54,Upper Age,loyal,pers,premium,Poor,Poor,Good,Good,Good,69,59,1,98800220
yes,M,30,Middle,loyal,biz,premium,Poor,Poor,Poor,Acceptable,Poor,202,0,1,98800222
yes,F,24,Young Adult,infrequent,biz,premium,Good,Good,Poor,Good,Good,185,38,1,98800223
no,F,29,Young Adult,infrequent,biz,regular,Poor,Poor,Good,Poor,Good,147,1,0,98800227
yes,F,53,Upper Age,loyal,biz,regular,Good,Good,Good,Poor,Good,170,4,1,98800228
yes,M,41,Middle,loyal,biz,premium,Poor,Poor,Good,Good,Good,366,0,1,98800229
no,M,35,Middle,loyal,pers,premium,Acceptable,Acceptable,Good,Poor,Good,207,0,0,98800230
yes,M,55,Upper Age,loyal,biz,premium,Good,Poor,Good,Good,Good,70,95,1,98800234
yes,F,38,Middle,loyal,pers,regular,Acceptable,Acceptable,Good,Good,Good,225,0,1,98800239
yes,M,25,Young Adult,infrequent,biz,premium,Good,Good,Good,Good,Poor,150,0,1,98800241
yes,F,30,Middle,loyal,biz,regular,Good,Good,Acceptable,Good,Good,190,10,1,98800242
yes,M,49,Upper Age,loyal,pers,regular,Good,Good,Good,Acceptable,Good,248,0,1,98800245
yes,F,64,Elder,loyal,pers,regular,Good,Good,Poor,Good,Poor,138,0,1,98800247
no,F,50,Upper Age,infrequent,biz,premium,Poor,Poor,Good,Poor,Good,165,5,0,98800250
no,M,19,Young Adult,loyal,pers,regular,Poor,Poor,Acceptable,Poor,Good,139,0,0,98800251
yes,F,40,Middle,loyal,biz,premium,Acceptable,Acceptable,Acceptable,Good,Acceptable,250,241,1,98800252
no,M,52,Upper Age,loyal,biz,regular,Poor,Acceptable,Acceptable,Poor,Poor,258,0,0,98800255
yes,F,35,Middle,loyal,biz,regular,Poor,Poor,Good,Good,Good,179,0,1,98800259
yes,M,34,Middle,loyal,biz,regular,Poor,Poor,Good,Good,Good,53,1,1,98800262
yes,F,35,Middle,loyal,biz,regular,Good,Poor,Good,Good,Poor,139,140,1,98800263
no,M,44,Middle,loyal,pers,regular,Poor,Poor,Good,Good,Acceptable,134,22,0,98800265
yes,M,25,Young Adult,infrequent,biz,regular,Good,Good,Good,Acceptable,Good,163,0,1,98800267
no,F,22,Young Adult,infrequent,biz,premium,Poor,Poor,Good,Poor,Good,147,15,0,98800270
yes,M,25,Young Adult,loyal,pers,regular,Good,Good,Good,Poor,Good,343,0,1,98800272
yes,F,42,Middle,loyal,biz,premium,Good,Poor,Good,Good,Good,244,21,1,98800273
yes,F,35,Middle,loyal,pers,premium,Good,Good,Good,Good,Good,247,50,1,98800274
yes,F,32,Middle,loyal,biz,regular,Poor,Poor,Good,Good,Acceptable,365,0,1,98800275
yes,F,34,Middle,loyal,biz,regular,Poor,Acceptable,Good,Good,Good,379,0,1,98800276
yes,M,27,Young Adult,infrequent,biz,regular,Good,Good,Good,Acceptable,Good,192,0,1,98800277
no,F,27,Young Adult,infrequent,biz,regular,Poor,Poor,Poor,Poor,Poor,179,0,0,98800279
no,M,20,Young Adult,loyal,pers,regular,Acceptable,Acceptable,Good,Good,Good,268,0,0,98800284
no,F,42,Middle,infrequent,biz,premium,Good,Good,Acceptable,Poor,Good,112,3,0,98800286
yes,F,24,Young Adult,infrequent,biz,regular,Good,Good,Good,Acceptable,Acceptable,162,0,1,98800287
no,F,35,Middle,loyal,pers,regular,Good,Good,Good,Poor,Good,204,0,0,98800288
yes,F,29,Young Adult,loyal,biz,regular,Good,Good,Poor,Good,Acceptable,89,2,1,98800289
yes,F,23,Young Adult,loyal,pers,premium,Good,Good,Good,Poor,Poor,322,19,1,98800290
no,M,49,Upper Age,loyal,pers,regular,Poor,Poor,Good,Acceptable,Acceptable,292,0,0,98800292
yes,M,52,Upper Age,loyal,biz,regular,Poor,Poor,Good,Good,Good,166,0,1,98800293
no,M,33,Middle,loyal,biz,regular,Poor,Poor,Good,Good,Acceptable,295,8,0,98800294
yes,F,44,Middle,loyal,biz,regular,Acceptable,Acceptable,Good,Good,Good,158,2,1,98800296
no,M,37,Middle,loyal,pers,regular,Acceptable,Acceptable,Good,Good,Poor,195,18,0,98800297
no,M,64,Elder,loyal,pers,regular,Poor,Poor,Good,Poor,Good,321,8,0,98800299
yes,F,22,Young Adult,loyal,biz,regular,Good,Good,Good,Good,Good,208,0,1,98800301
no,F,47,Upper Age,loyal,biz,premium,Poor,Acceptable,Acceptable,Poor,Acceptable,120,52,0,98800303
no,M,25,Young Adult,loyal,biz,premium,Poor,Poor,Acceptable,Poor,Poor,246,0,0,98800306
no,M,60,Elder,loyal,biz,premium,Acceptable,Good,Acceptable,Acceptable,Good,165,20,0,98800307
no,M,48,Upper Age,loyal,pers,regular,Poor,Poor,Good,Poor,Acceptable,146,0,0,98800308
yes,M,50,Upper Age,loyal,biz,regular,Good,Poor,Acceptable,Good,Poor,162,21,1,98800314
yes,F,48,Upper Age,loyal,pers,regular,Good,Good,Good,Acceptable,Good,63,6,1,98800315
yes,F,48,Upper Age,loyal,pers,regular,Poor,Poor,Good,Good,Good,188,0,1,98800318
yes,M,42,Middle,loyal,biz,premium,Good,Good,Good,Good,Good,170,0,1,98800320
no,M,19,Young Adult,loyal,biz,regular,Poor,Poor,Acceptable,Poor,Good,385,8,0,98800328
no,M,52,Upper Age,loyal,biz,regular,Acceptable,Poor,Acceptable,Good,Acceptable,348,36,0,98800335
yes,F,71,Elder,loyal,biz,premium,Acceptable,Poor,Good,Good,Good,342,0,1,98800340
no,M,35,Middle,loyal,pers,premium,Poor,Poor,Good,Acceptable,Good,216,5,0,98800341
yes,M,60,Elder,loyal,biz,regular,Acceptable,Good,Good,Good,Good,143,102,1,98800342
yes,F,20,Young Adult,loyal,pers,regular,Good,Good,Good,Good,Acceptable,234,7,1,98800344
no,M,57,Upper Age,loyal,biz,regular,Poor,Acceptable,Poor,Acceptable,Poor,171,24,0,98800346
no,F,57,Upper Age,loyal,pers,premium,Acceptable,Acceptable,Poor,Acceptable,Acceptable,241,257,0,98800347
yes,F,37,Middle,loyal,pers,regular,Good,Good,Good,Good,Good,206,231,1,98800350
yes,F,33,Middle,loyal,pers,regular,Poor,Poor,Acceptable,Poor,Poor,193,0,1,98800353
no,M,60,Elder,loyal,biz,premium,Poor,Good,Poor,Good,Poor,291,31,0,98800354
yes,F,41,Middle,loyal,biz,regular,Good,Good,Poor,Good,Poor,88,0,1,98800357
no,M,24,Young Adult,infrequent,biz,premium,Acceptable,Acceptable,Poor,Good,Good,199,0,0,98800358
yes,F,41,Middle,loyal,biz,regular,Good,Good,Good,Good,Good,262,0,1,98800359
yes,M,33,Middle,loyal,biz,premium,Good,Good,Poor,Good,Poor,497,1,1,98800360
no,F,30,Middle,infrequent,biz,regular,Poor,Poor,Good,Good,Acceptable,294,5,0,98800361
no,F,22,Young Adult,infrequent,biz,premium,Poor,Poor,Good,Good,Poor,192,128,0,98800362
yes,F,28,Young Adult,loyal,biz,premium,Good,Good,Good,Good,Good,358,0,1,98800363
yes,F,27,Young Adult,loyal,biz,regular,Good,Good,Good,Acceptable,Acceptable,336,62,1,98800364
no,M,29,Young Adult,loyal,pers,premium,Poor,Poor,Good,Good,Acceptable,280,9,0,98800366
no,M,54,Upper Age,loyal,biz,regular,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,156,22,0,98800367
yes,F,23,Young Adult,loyal,biz,regular,Good,Good,Acceptable,Good,Poor,146,12,1,98800368
no,M,54,Upper Age,loyal,biz,premium,Good,Poor,Good,Good,Poor,175,0,0,98800370
yes,F,49,Upper Age,loyal,biz,premium,Poor,Poor,Acceptable,Good,Acceptable,322,0,1,98800372
yes,F,53,Upper Age,loyal,biz,regular,Poor,Poor,Good,Good,Good,127,0,1,98800376
yes,F,20,Young Adult,infrequent,biz,premium,Poor,Poor,Good,Poor,Acceptable,229,5,1,98800380
no,F,50,Upper Age,loyal,biz,premium,Acceptable,Good,Acceptable,Good,Acceptable,116,4,0,98800381
no,F,35,Middle,loyal,pers,premium,Good,Good,Good,Poor,Acceptable,224,0,0,98800382
yes,F,52,Upper Age,loyal,pers,premium,Good,Good,Good,Poor,Good,83,20,1,98800384
no,M,67,Elder,loyal,pers,premium,Poor,Poor,Acceptable,Good,Poor,366,1,0,98800387
yes,M,47,Upper Age,loyal,biz,regular,Good,Poor,Good,Good,Acceptable,167,0,1,98800388
yes,F,36,Middle,loyal,pers,premium,Good,Good,Acceptable,Good,Acceptable,163,0,1,98800390
no,M,20,Young Adult,loyal,pers,regular,Acceptable,Good,Acceptable,Acceptable,Good,251,45,0,98800391
yes,F,35,Middle,loyal,biz,regular,Good,Good,Good,Good,Good,388,0,1,98800392
no,M,41,Middle,loyal,pers,regular,Poor,Poor,Poor,Acceptable,Poor,388,16,0,98800393
yes,F,47,Upper Age,loyal,pers,premium,Acceptable,Good,Poor,Good,Poor,79,0,1,98800400
yes,M,22,Young Adult,infrequent,biz,regular,Poor,Poor,Good,Good,Good,157,4,1,98800401
no,M,23,Young Adult,loyal,pers,premium,Poor,Poor,Poor,Good,Poor,194,13,0,98800402
yes,M,52,Upper Age,infrequent,biz,regular,Good,Good,Acceptable,Poor,Acceptable,211,22,1,98800406
no,F,24,Young Adult,infrequent,biz,regular,Poor,Poor,Poor,Good,Good,220,0,0,98800407
yes,F,25,Young Adult,loyal,pers,regular,Good,Poor,Poor,Good,Poor,137,0,1,98800408
yes,F,40,Middle,loyal,biz,premium,Acceptable,Acceptable,Good,Good,Good,53,211,1,98800409
no,M,18,Young Adult,infrequent,biz,premium,Poor,Poor,Good,Acceptable,Acceptable,115,173,0,98800411
yes,M,60,Elder,loyal,biz,premium,Acceptable,Poor,Good,Good,Good,58,0,1,98800412
yes,F,59,Upper Age,loyal,biz,regular,Poor,Good,Good,Good,Good,52,198,1,98800417
yes,M,48,Upper Age,loyal,biz,regular,Good,Acceptable,Acceptable,Good,Poor,133,0,1,98800418
no,F,52,Upper Age,loyal,pers,premium,Good,Good,Poor,Good,Poor,53,0,0,98800420
yes,F,58,Upper Age,loyal,biz,regular,Good,Good,Good,Good,Good,340,4,1,98800421
yes,F,60,Elder,loyal,biz,regular,Poor,Poor,Good,Good,Good,244,12,1,98800422
yes,F,21,Young Adult,loyal,pers,premium,Acceptable,Acceptable,Good,Good,Good,189,0,1,98800423
no,F,43,Middle,loyal,biz,premium,Poor,Good,Poor,Poor,Poor,276,17,0,98800424
no,M,52,Upper Age,loyal,pers,premium,Acceptable,Acceptable,Acceptable,Poor,Acceptable,208,90,0,98800432
yes,M,35,Middle,loyal,biz,regular,Good,Good,Poor,Good,Poor,166,153,1,98800433
yes,F,54,Upper Age,loyal,biz,premium,Acceptable,Acceptable,Acceptable,Good,Acceptable,265,0,1,98800434
no,M,56,Upper Age,loyal,pers,premium,Acceptable,Acceptable,Good,Acceptable,Good,139,0,0,98800435
no,M,67,Elder,loyal,biz,premium,Acceptable,Good,Acceptable,Acceptable,Acceptable,312,0,0,98800436
yes,F,44,Middle,loyal,biz,regular,Good,Good,Good,Good,Good,82,59,1,98800437
no,M,39,Middle,infrequent,biz,premium,Poor,Poor,Good,Good,Good,354,0,0,98800438
yes,M,56,Upper Age,loyal,biz,regular,Acceptable,Good,Good,Good,Good,112,0,1,98800440
yes,F,55,Upper Age,loyal,biz,premium,Acceptable,Acceptable,Good,Good,Good,77,2,1,98800442
no,M,49,Upper Age,infrequent,biz,regular,Good,Good,Acceptable,Good,Poor,179,102,0,98800444
no,F,26,Young Adult,infrequent,biz,premium,Poor,Poor,Acceptable,Good,Poor,209,0,0,98800445
yes,F,39,Middle,loyal,pers,premium,Poor,Poor,Good,Good,Good,194,0,1,98800447
yes,M,44,Middle,infrequent,biz,premium,Good,Good,Good,Poor,Acceptable,196,37,1,98800448
no,F,34,Middle,loyal,biz,premium,Good,Acceptable,Good,Good,Good,187,12,0,98800449
no,F,29,Young Adult,infrequent,biz,premium,Acceptable,Acceptable,Acceptable,Good,Poor,282,144,0,98800450
no,F,22,Young Adult,loyal,biz,regular,Poor,Good,Good,Poor,Good,511,0,0,98800451
no,M,58,Upper Age,loyal,pers,regular,Acceptable,Acceptable,Acceptable,Poor,Good,224,13,0,98800453
no,F,36,Middle,loyal,biz,regular,Poor,Good,Good,Poor,Poor,93,0,0,98800454
yes,M,56,Upper Age,loyal,biz,regular,Poor,Poor,Good,Good,Good,102,0,1,98800455
no,F,40,Middle,loyal,biz,regular,Good,Good,Good,Acceptable,Good,267,0,0,98800457
no,M,37,Middle,infrequent,biz,regular,Poor,Poor,Good,Good,Acceptable,244,17,0,98800458
yes,M,31,Middle,loyal,biz,premium,Poor,Poor,Good,Good,Poor,157,0,1,98800460
no,M,58,Upper Age,loyal,pers,premium,Good,Good,Good,Poor,Good,232,0,0,98800461
yes,M,30,Middle,loyal,biz,regular,Good,Good,Acceptable,Good,Acceptable,335,0,1,98800464
no,M,46,Upper Age,loyal,pers,regular,Poor,Poor,Acceptable,Acceptable,Acceptable,264,0,0,98800469
no,F,21,Young Adult,infrequent,biz,premium,Poor,Poor,Acceptable,Acceptable,Poor,208,18,0,98800470
no,F,43,Middle,infrequent,biz,regular,Poor,Poor,Acceptable,Poor,Good,220,7,0,98800471
yes,F,68,Elder,loyal,pers,regular,Poor,Acceptable,Good,Acceptable,Good,146,105,1,98800472
yes,F,43,Middle,loyal,biz,premium,Poor,Poor,Good,Good,Good,179,216,1,98800473
no,F,44,Middle,infrequent,biz,regular,Acceptable,Acceptable,Good,Poor,Acceptable,250,66,0,98800478
yes,F,61,Elder,loyal,pers,premium,Poor,Poor,Good,Acceptable,Good,262,0,1,98800479
yes,F,51,Upper Age,loyal,biz,premium,Good,Good,Good,Good,Good,88,42,1,98800480
no,M,23,Young Adult,loyal,biz,regular,Acceptable,Good,Acceptable,Acceptable,Poor,290,2,0,98800485
yes,F,66,Elder,loyal,pers,premium,Good,Good,Good,Good,Acceptable,89,96,1,98800489
no,F,21,Young Adult,loyal,pers,premium,Good,Good,Poor,Good,Good,187,38,0,98800492
yes,M,57,Upper Age,loyal,biz,premium,Good,Good,Good,Good,Poor,151,0,1,98800493
yes,F,48,Upper Age,loyal,pers,regular,Good,Good,Good,Good,Good,89,0,1,98800497
no,M,24,Young Adult,loyal,biz,regular,Poor,Acceptable,Good,Poor,Poor,223,21,0,98800498
no,M,25,Young Adult,loyal,pers,premium,Poor,Acceptable,Poor,Acceptable,Poor,369,0,0,98800499
yes,F,34,Middle,loyal,pers,regular,Poor,Good,Good,Good,Good,200,0,1,98800501
no,M,50,Upper Age,loyal,pers,premium,Poor,Poor,Good,Poor,Acceptable,311,4,0,98800503
no,M,51,Upper Age,infrequent,biz,regular,Acceptable,Acceptable,Good,Acceptable,Acceptable,142,70,0,98800507
no,M,37,Middle,infrequent,biz,premium,Good,Good,Good,Acceptable,Good,107,0,0,98800508
no,F,22,Young Adult,infrequent,biz,premium,Good,Good,Good,Acceptable,Poor,159,60,0,98800509
no,M,66,Elder,loyal,pers,regular,Poor,Poor,Good,Good,Good,284,0,0,98800513
yes,M,58,Upper Age,loyal,biz,premium,Poor,Poor,Good,Good,Good,279,0,1,98800516
no,M,29,Young Adult,loyal,biz,premium,Poor,Good,Good,Poor,Poor,197,0,0,98800521
yes,M,29,Young Adult,loyal,biz,premium,Poor,Poor,Good,Poor,Good,475,0,1,98800523
yes,F,29,Young Adult,loyal,biz,premium,Good,Good,Good,Good,Poor,262,0,1,98800524
yes,M,31,Middle,loyal,biz,regular,Good,Poor,Poor,Good,Poor,255,0,1,98800525
no,F,25,Young Adult,infrequent,biz,premium,Poor,Poor,Good,Good,Good,206,12,0,98800526
yes,F,42,Middle,loyal,pers,premium,Good,Good,Good,Good,Good,66,0,1,98800527
no,M,25,Young Adult,infrequent,biz,regular,Poor,Poor,Good,Good,Good,172,0,0,98800529
yes,F,25,Young Adult,loyal,biz,regular,Good,Good,Poor,Good,Poor,241,0,1,98800532
yes,M,43,Middle,loyal,biz,regular,Good,Good,Good,Good,Good,98,5,1,98800534
no,M,29,Young Adult,loyal,pers,premium,Good,Good,Acceptable,Good,Poor,171,0,0,98800535
yes,F,43,Middle,loyal,biz,regular,Good,Good,Good,Good,Good,380,0,1,98800536
no,M,35,Middle,loyal,pers,premium,Poor,Poor,Poor,Acceptable,Poor,647,32,0,98800540
yes,M,27,Young Adult,loyal,biz,premium,Poor,Good,Good,Good,Poor,332,146,1,98800541
yes,M,50,Upper Age,loyal,biz,premium,Poor,Good,Poor,Good,Poor,102,23,1,98800543
