,Gender,Age,Age_Group,Customer_Type,Type_Travel,Seat_Class,Travel_Distance(km),delay(seconds),ID
617,M,20,Young Adult,loyal,pers,regular,156,3,98800618
618,F,26,Young Adult,infrequent,biz,regular,156,46,98800619
619,M,52,Upper Age,loyal,pers,premium,105,0,98800620
621,M,59,Upper Age,loyal,biz,premium,144,9,98800622
623,M,49,Upper Age,loyal,pers,premium,249,0,98800624
625,F,48,Upper Age,loyal,pers,regular,219,0,98800626
632,F,23,Young Adult,infrequent,biz,premium,158,0,98800633
633,M,40,Middle,loyal,biz,premium,214,22,98800634
640,M,26,Young Adult,loyal,biz,premium,241,24,98800641
645,F,33,Middle,loyal,biz,regular,174,25,98800646
648,M,48,Upper Age,loyal,biz,premium,104,1,98800649
650,M,18,Young Adult,infrequent,biz,regular,195,0,98800651
652,M,36,Middle,infrequent,biz,premium,218,1,98800653
654,F,38,Middle,loyal,biz,regular,80,104,98800655
655,F,25,Young Adult,infrequent,biz,regular,89,64,98800656
661,F,24,Young Adult,infrequent,biz,regular,201,0,98800662
662,F,37,Middle,loyal,biz,regular,156,32,98800663
663,F,42,Middle,loyal,biz,premium,160,30,98800664
664,M,46,Upper Age,loyal,biz,premium,358,2,98800665
665,M,69,Elder,loyal,pers,regular,374,0,98800666
670,M,31,Middle,loyal,pers,premium,187,11,98800671
673,F,29,Young Adult,infrequent,biz,premium,158,0,98800674
677,M,32,Middle,loyal,biz,regular,190,16,98800678
678,M,21,Young Adult,infrequent,biz,premium,160,10,98800679
680,F,43,Middle,loyal,biz,premium,314,2,98800681
682,F,57,Upper Age,loyal,pers,regular,176,82,98800683
683,F,22,Young Adult,loyal,pers,regular,137,93,98800684
685,M,43,Middle,loyal,biz,regular,118,0,98800686
687,F,30,Middle,loyal,pers,regular,207,7,98800688
688,F,47,Upper Age,loyal,biz,premium,56,7,98800689
691,M,48,Upper Age,loyal,biz,premium,70,88,98800692
693,M,24,Young Adult,infrequent,biz,regular,146,0,98800694
695,F,29,Young Adult,loyal,pers,regular,170,34,98800696
696,M,29,Young Adult,loyal,biz,regular,186,0,98800697
700,F,34,Middle,loyal,biz,premium,55,48,98800701
702,M,37,Middle,loyal,biz,premium,208,0,98800703
703,F,23,Young Adult,loyal,pers,premium,240,8,98800704
705,F,30,Middle,infrequent,biz,premium,124,9,98800706
706,M,43,Middle,loyal,pers,regular,170,0,98800707
707,M,33,Middle,loyal,biz,regular,520,0,98800708
708,F,34,Middle,loyal,biz,regular,181,11,98800709
712,F,54,Upper Age,loyal,biz,premium,56,0,98800713
713,F,30,Middle,infrequent,biz,regular,136,0,98800714
715,M,44,Middle,loyal,pers,premium,260,0,98800716
719,F,56,Upper Age,loyal,pers,premium,68,30,98800720
720,M,42,Middle,loyal,pers,premium,253,7,98800721
722,F,30,Middle,infrequent,biz,regular,363,1,98800723
723,M,36,Middle,loyal,biz,regular,234,8,98800724
724,F,25,Young Adult,infrequent,biz,regular,343,28,98800725
726,M,44,Middle,loyal,biz,premium,171,151,98800727
731,M,47,Upper Age,loyal,biz,regular,367,0,98800732
733,M,51,Upper Age,loyal,biz,premium,130,39,98800734
735,F,80,Elder,loyal,biz,premium,213,0,98800736
736,M,27,Young Adult,loyal,biz,regular,139,0,98800737
737,M,60,Elder,loyal,biz,premium,299,42,98800738
738,F,27,Young Adult,loyal,pers,regular,330,182,98800739
739,F,22,Young Adult,loyal,pers,regular,197,0,98800740
741,F,34,Middle,loyal,biz,regular,301,0,98800742
742,M,64,Elder,loyal,biz,premium,185,14,98800743
744,M,18,Young Adult,loyal,pers,premium,155,11,98800745
745,F,50,Upper Age,loyal,biz,premium,372,3,98800746
748,F,24,Young Adult,infrequent,biz,regular,125,0,98800749
749,F,43,Middle,infrequent,biz,regular,215,2,98800750
752,F,47,Upper Age,loyal,pers,premium,92,0,98800753
753,M,26,Young Adult,infrequent,biz,premium,134,13,98800754
754,M,25,Young Adult,infrequent,biz,premium,214,6,98800755
755,M,31,Middle,loyal,biz,regular,471,1,98800756
760,F,41,Middle,infrequent,biz,regular,166,106,98800761
761,M,18,Young Adult,loyal,pers,premium,220,0,98800762
762,M,50,Upper Age,loyal,pers,premium,208,7,98800763
763,M,18,Young Adult,infrequent,biz,premium,269,0,98800764
767,F,36,Middle,loyal,biz,regular,187,14,98800768
770,F,26,Young Adult,loyal,biz,regular,200,0,98800771
771,F,37,Middle,infrequent,biz,premium,195,7,98800772
772,M,37,Middle,loyal,biz,premium,266,51,98800773
773,F,59,Upper Age,infrequent,biz,premium,188,185,98800774
774,F,54,Upper Age,loyal,biz,regular,96,2,98800775
775,F,38,Middle,loyal,biz,premium,187,0,98800776
779,M,48,Upper Age,loyal,biz,premium,53,8,98800780
780,F,24,Young Adult,infrequent,biz,premium,246,1,98800781
784,M,26,Young Adult,loyal,biz,regular,382,2,98800785
787,F,32,Middle,loyal,biz,regular,106,0,98800788
788,F,57,Upper Age,loyal,pers,regular,106,46,98800789
791,M,48,Upper Age,loyal,biz,premium,246,0,98800792
792,F,25,Young Adult,infrequent,biz,premium,219,0,98800793
793,M,45,Middle,loyal,biz,regular,188,30,98800794
794,M,62,Elder,loyal,pers,regular,203,69,98800795
795,M,26,Young Adult,infrequent,biz,regular,278,170,98800796
796,F,23,Young Adult,infrequent,biz,regular,160,11,98800797
800,M,53,Upper Age,loyal,pers,premium,113,12,98800801
802,F,39,Middle,loyal,biz,premium,222,2,98800803
805,M,38,Middle,loyal,pers,regular,176,0,98800806
807,F,30,Middle,loyal,pers,regular,212,85,98800808
809,M,27,Young Adult,infrequent,pers,premium,144,0,98800810
810,M,39,Middle,loyal,biz,premium,191,15,98800811
811,F,60,Elder,loyal,biz,premium,206,11,98800812
812,F,38,Middle,infrequent,biz,premium,130,4,98800813
814,F,62,Elder,loyal,pers,premium,65,0,98800815
815,M,35,Middle,loyal,biz,premium,285,26,98800816
816,F,72,Elder,loyal,biz,regular,249,110,98800817
817,F,47,Upper Age,loyal,biz,premium,156,14,98800818
818,M,29,Young Adult,loyal,biz,premium,173,0,98800819
819,F,27,Young Adult,infrequent,biz,premium,168,4,98800820
820,F,25,Young Adult,loyal,biz,premium,461,0,98800821
825,M,28,Young Adult,loyal,biz,regular,415,9,98800826
828,M,32,Middle,loyal,biz,regular,348,20,98800829
832,M,62,Elder,infrequent,biz,regular,215,0,98800833
834,M,24,Young Adult,infrequent,biz,premium,178,0,98800835
835,F,48,Upper Age,loyal,biz,regular,315,87,98800836
838,M,21,Young Adult,loyal,pers,regular,183,220,98800839
842,M,41,Middle,loyal,biz,premium,157,0,98800843
845,M,23,Young Adult,loyal,pers,premium,189,4,98800846
846,F,34,Middle,loyal,biz,premium,180,0,98800847
847,F,56,Upper Age,infrequent,biz,regular,151,0,98800848
849,M,28,Young Adult,loyal,biz,regular,197,13,98800850
850,M,41,Middle,loyal,biz,regular,351,0,98800851
851,M,63,Elder,loyal,pers,regular,141,0,98800852
853,F,36,Middle,infrequent,biz,regular,245,79,98800854
859,F,35,Middle,infrequent,biz,premium,318,6,98800860
861,F,22,Young Adult,infrequent,biz,premium,211,26,98800862
866,F,35,Middle,infrequent,biz,regular,369,0,98800867
867,M,41,Middle,loyal,biz,premium,187,17,98800868
870,M,23,Young Adult,loyal,pers,regular,289,0,98800871
871,F,57,Upper Age,loyal,biz,premium,303,29,98800872
872,M,39,Middle,loyal,pers,regular,236,0,98800873
873,M,44,Middle,loyal,biz,regular,231,0,98800874
876,M,32,Middle,loyal,biz,regular,198,0,98800877
877,M,24,Young Adult,loyal,biz,premium,334,149,98800878
878,F,25,Young Adult,infrequent,biz,premium,312,0,98800879
888,M,41,Middle,loyal,biz,regular,79,0,98800889
889,M,46,Upper Age,infrequent,biz,regular,227,8,98800890
898,M,39,Middle,infrequent,biz,premium,164,0,98800899
902,F,54,Upper Age,infrequent,biz,regular,256,8,98800903
903,M,46,Upper Age,loyal,biz,regular,260,3,98800904
907,M,46,Upper Age,infrequent,biz,regular,251,4,98800908
909,F,47,Upper Age,loyal,pers,premium,96,1,98800910
914,M,64,Elder,loyal,biz,premium,276,0,98800915
917,F,38,Middle,loyal,biz,premium,142,0,98800918
920,F,39,Middle,loyal,biz,premium,387,41,98800921
925,M,56,Upper Age,loyal,pers,regular,150,69,98800926
929,M,54,Upper Age,loyal,biz,regular,278,0,98800930
930,M,40,Middle,loyal,biz,premium,140,74,98800931
931,M,28,Young Adult,loyal,biz,premium,224,0,98800932
932,M,48,Upper Age,loyal,pers,premium,164,0,98800933
935,M,24,Young Adult,infrequent,biz,regular,160,38,98800936
938,M,37,Middle,loyal,pers,regular,164,0,98800939
939,M,43,Middle,loyal,biz,regular,242,124,98800940
941,M,54,Upper Age,loyal,biz,regular,310,0,98800942
944,F,41,Middle,loyal,biz,regular,130,6,98800945
946,F,42,Middle,loyal,biz,premium,76,23,98800947
947,F,20,Young Adult,infrequent,biz,premium,162,4,98800948
952,F,50,Upper Age,loyal,biz,regular,283,0,98800953
957,M,49,Upper Age,loyal,pers,premium,203,2,98800958
958,F,32,Middle,infrequent,biz,regular,158,0,98800959
962,M,45,Middle,loyal,biz,premium,75,0,98800963
967,F,44,Middle,loyal,biz,regular,228,0,98800968
970,M,27,Young Adult,loyal,biz,premium,202,71,98800971
971,F,48,Upper Age,loyal,biz,regular,246,4,98800972
974,F,38,Middle,loyal,biz,premium,203,0,98800975
975,M,56,Upper Age,loyal,pers,premium,104,8,98800976
976,M,49,Upper Age,loyal,biz,premium,91,22,98800977
978,F,29,Young Adult,loyal,biz,regular,270,0,98800979
979,F,37,Middle,infrequent,biz,premium,195,0,98800980
981,M,29,Young Adult,loyal,biz,regular,423,9,98800982
