,Satisfied,Seat_Comfort,Catering,Online_Support,Cleanliness,Catering,Onboard_Service,num_sat
283,no,Acceptable,Acceptable,Good,Good,Acceptable,Good,0
285,no,Good,Good,Poor,Acceptable,Good,Good,0
286,yes,Good,Good,Acceptable,Good,Good,Acceptable,1
287,no,Good,Good,Poor,Good,Good,Good,0
288,yes,Good,Good,Good,Poor,Good,Acceptable,1
289,yes,Good,Good,Poor,Good,Good,Poor,1
291,no,Poor,Poor,Acceptable,Good,Poor,Acceptable,0
292,yes,Poor,Poor,Good,Good,Poor,Good,1
293,no,Poor,Poor,Good,Good,Poor,Acceptable,0
295,yes,Acceptable,Acceptable,Good,Good,Acceptable,Good,1
296,no,Acceptable,Acceptable,Good,Good,Acceptable,Poor,0
298,no,Poor,Poor,Poor,Good,Poor,Good,0
300,yes,Good,Good,Good,Good,Good,Good,1
302,no,Poor,Acceptable,Poor,Acceptable,Acceptable,Acceptable,0
305,no,Poor,Poor,Poor,Acceptable,Poor,Poor,0
306,no,Acceptable,Good,Acceptable,Acceptable,Good,Good,0
307,no,Poor,Poor,Poor,Good,Poor,Acceptable,0
313,yes,Good,Poor,Good,Acceptable,Poor,Poor,1
314,yes,Good,Good,Acceptable,Good,Good,Good,1
317,yes,Poor,Poor,Good,Good,Poor,Good,1
319,yes,Good,Good,Good,Good,Good,Good,1
327,no,Poor,Poor,Poor,Acceptable,Poor,Good,0
334,no,Acceptable,Poor,Good,Acceptable,Poor,Acceptable,0
339,yes,Acceptable,Poor,Good,Good,Poor,Good,1
340,no,Poor,Poor,Acceptable,Good,Poor,Good,0
341,yes,Acceptable,Good,Good,Good,Good,Good,1
343,yes,Good,Good,Good,Good,Good,Acceptable,1
345,no,Poor,Acceptable,Acceptable,Poor,Acceptable,Poor,0
346,no,Acceptable,Acceptable,Acceptable,Poor,Acceptable,Acceptable,0
349,yes,Good,Good,Good,Good,Good,Good,1
352,yes,Poor,Poor,Poor,Acceptable,Poor,Poor,1
353,no,Poor,Good,Good,Poor,Good,Poor,0
356,yes,Good,Good,Good,Poor,Good,Poor,1
357,no,Acceptable,Acceptable,Good,Poor,Acceptable,Good,0
358,yes,Good,Good,Good,Good,Good,Good,1
359,yes,Good,Good,Good,Poor,Good,Poor,1
360,no,Poor,Poor,Good,Good,Poor,Acceptable,0
361,no,Poor,Poor,Good,Good,Poor,Poor,0
362,yes,Good,Good,Good,Good,Good,Good,1
363,yes,Good,Good,Acceptable,Good,Good,Acceptable,1
365,no,Poor,Poor,Good,Good,Poor,Acceptable,0
366,no,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,0
367,yes,Good,Good,Good,Acceptable,Good,Poor,1
369,no,Good,Poor,Good,Good,Poor,Poor,0
371,yes,Poor,Poor,Good,Acceptable,Poor,Acceptable,1
375,yes,Poor,Poor,Good,Good,Poor,Good,1
379,yes,Poor,Poor,Poor,Good,Poor,Acceptable,1
380,no,Acceptable,Good,Good,Acceptable,Good,Acceptable,0
381,no,Good,Good,Poor,Good,Good,Acceptable,0
383,yes,Good,Good,Poor,Good,Good,Good,1
386,no,Poor,Poor,Good,Acceptable,Poor,Poor,0
387,yes,Good,Poor,Good,Good,Poor,Acceptable,1
389,yes,Good,Good,Good,Acceptable,Good,Acceptable,1
390,no,Acceptable,Good,Acceptable,Acceptable,Good,Good,0
391,yes,Good,Good,Good,Good,Good,Good,1
392,no,Poor,Poor,Acceptable,Poor,Poor,Poor,0
399,yes,Acceptable,Good,Good,Poor,Good,Poor,1
400,yes,Poor,Poor,Good,Good,Poor,Good,1
401,no,Poor,Poor,Good,Poor,Poor,Poor,0
405,yes,Good,Good,Poor,Acceptable,Good,Acceptable,1
406,no,Poor,Poor,Good,Poor,Poor,Good,0
407,yes,Good,Poor,Good,Poor,Poor,Poor,1
408,yes,Acceptable,Acceptable,Good,Good,Acceptable,Good,1
410,no,Poor,Poor,Acceptable,Good,Poor,Acceptable,0
411,yes,Acceptable,Poor,Good,Good,Poor,Good,1
416,yes,Poor,Good,Good,Good,Good,Good,1
417,yes,Good,Acceptable,Good,Acceptable,Acceptable,Poor,1
419,no,Good,Good,Good,Poor,Good,Poor,0
420,yes,Good,Good,Good,Good,Good,Good,1
421,yes,Poor,Poor,Good,Good,Poor,Good,1
422,yes,Acceptable,Acceptable,Good,Good,Acceptable,Good,1
423,no,Poor,Good,Poor,Poor,Good,Poor,0
431,no,Acceptable,Acceptable,Poor,Acceptable,Acceptable,Acceptable,0
432,yes,Good,Good,Good,Poor,Good,Poor,1
433,yes,Acceptable,Acceptable,Good,Acceptable,Acceptable,Acceptable,1
434,no,Acceptable,Acceptable,Acceptable,Good,Acceptable,Good,0
435,no,Acceptable,Good,Acceptable,Acceptable,Good,Acceptable,0
436,yes,Good,Good,Good,Good,Good,Good,1
437,no,Poor,Poor,Good,Good,Poor,Good,0
439,yes,Acceptable,Good,Good,Good,Good,Good,1
441,yes,Acceptable,Acceptable,Good,Good,Acceptable,Good,1
443,no,Good,Good,Good,Acceptable,Good,Poor,0
444,no,Poor,Poor,Good,Acceptable,Poor,Poor,0
446,yes,Poor,Poor,Good,Good,Poor,Good,1
447,yes,Good,Good,Poor,Good,Good,Acceptable,1
448,no,Good,Acceptable,Good,Good,Acceptable,Good,0
449,no,Acceptable,Acceptable,Good,Acceptable,Acceptable,Poor,0
450,no,Poor,Good,Poor,Good,Good,Good,0
452,no,Acceptable,Acceptable,Poor,Acceptable,Acceptable,Good,0
453,no,Poor,Good,Poor,Good,Good,Poor,0
454,yes,Poor,Poor,Good,Good,Poor,Good,1
456,no,Good,Good,Acceptable,Good,Good,Good,0
457,no,Poor,Poor,Good,Good,Poor,Acceptable,0
459,yes,Poor,Poor,Good,Good,Poor,Poor,1
460,no,Good,Good,Poor,Good,Good,Good,0
463,yes,Good,Good,Good,Acceptable,Good,Acceptable,1
468,no,Poor,Poor,Acceptable,Acceptable,Poor,Acceptable,0
469,no,Poor,Poor,Acceptable,Acceptable,Poor,Poor,0
470,no,Poor,Poor,Poor,Acceptable,Poor,Good,0
471,yes,Poor,Acceptable,Acceptable,Good,Acceptable,Good,1
472,yes,Poor,Poor,Good,Good,Poor,Good,1
477,no,Acceptable,Acceptable,Poor,Good,Acceptable,Acceptable,0
478,yes,Poor,Poor,Acceptable,Good,Poor,Good,1
479,yes,Good,Good,Good,Good,Good,Good,1
484,no,Acceptable,Good,Acceptable,Acceptable,Good,Poor,0
488,yes,Good,Good,Good,Good,Good,Acceptable,1
491,no,Good,Good,Good,Poor,Good,Good,0
492,yes,Good,Good,Good,Good,Good,Poor,1
496,yes,Good,Good,Good,Good,Good,Good,1
497,no,Poor,Acceptable,Poor,Good,Acceptable,Poor,0
498,no,Poor,Acceptable,Acceptable,Poor,Acceptable,Poor,0
500,yes,Poor,Good,Good,Good,Good,Good,1
502,no,Poor,Poor,Poor,Good,Poor,Acceptable,0
506,no,Acceptable,Acceptable,Acceptable,Good,Acceptable,Acceptable,0
507,no,Good,Good,Acceptable,Good,Good,Good,0
508,no,Good,Good,Acceptable,Good,Good,Poor,0
512,no,Poor,Poor,Good,Good,Poor,Good,0
515,yes,Poor,Poor,Good,Good,Poor,Good,1
520,no,Poor,Good,Poor,Good,Good,Poor,0
522,yes,Poor,Poor,Poor,Good,Poor,Good,1
523,yes,Good,Good,Good,Good,Good,Poor,1
524,yes,Good,Poor,Good,Poor,Poor,Poor,1
525,no,Poor,Poor,Good,Good,Poor,Good,0
526,yes,Good,Good,Good,Good,Good,Good,1
528,no,Poor,Poor,Good,Good,Poor,Good,0
531,yes,Good,Good,Good,Poor,Good,Poor,1
533,yes,Good,Good,Good,Good,Good,Good,1
534,no,Good,Good,Good,Acceptable,Good,Poor,0
535,yes,Good,Good,Good,Good,Good,Good,1
539,no,Poor,Poor,Acceptable,Poor,Poor,Poor,0
540,yes,Poor,Good,Good,Good,Good,Poor,1
542,yes,Poor,Good,Good,Poor,Good,Poor,1
548,yes,Good,Good,Acceptable,Good,Good,Good,1
549,no,Good,Poor,Good,Good,Poor,Poor,0
550,no,Good,Good,Good,Good,Good,Poor,0
551,yes,Good,Good,Good,Poor,Good,Poor,1
552,no,Acceptable,Acceptable,Poor,Good,Acceptable,Acceptable,0
553,yes,Poor,Poor,Good,Acceptable,Poor,Good,1
554,yes,Good,Good,Good,Good,Good,Poor,1
555,no,Good,Poor,Good,Poor,Poor,Good,0
559,no,Poor,Poor,Acceptable,Good,Poor,Good,0
561,yes,Good,Good,Good,Poor,Good,Poor,1
562,yes,Poor,Poor,Good,Good,Poor,Good,1
565,no,Poor,Good,Acceptable,Acceptable,Good,Acceptable,0
571,yes,Poor,Poor,Good,Good,Poor,Good,1
573,no,Acceptable,Poor,Acceptable,Good,Poor,Poor,0
574,yes,Good,Poor,Good,Good,Poor,Good,1
575,yes,Acceptable,Acceptable,Good,Good,Acceptable,Good,1
578,no,Acceptable,Acceptable,Poor,Good,Acceptable,Acceptable,0
582,no,Acceptable,Acceptable,Good,Acceptable,Acceptable,Poor,0
583,no,Acceptable,Acceptable,Poor,Good,Acceptable,Good,0
585,yes,Good,Good,Poor,Good,Good,Good,1
586,yes,Good,Good,Acceptable,Poor,Good,Poor,1
588,no,Poor,Poor,Good,Good,Poor,Poor,0
590,yes,Poor,Poor,Good,Good,Poor,Good,1
594,yes,Poor,Poor,Good,Good,Poor,Good,1
596,no,Poor,Poor,Poor,Good,Poor,Acceptable,0
599,no,Poor,Good,Good,Poor,Good,Poor,0
600,yes,Poor,Poor,Good,Good,Poor,Good,1
601,yes,Good,Good,Good,Good,Good,Good,1
602,yes,Poor,Good,Good,Good,Good,Acceptable,1
603,no,Good,Good,Poor,Good,Good,Good,0
604,yes,Good,Good,Poor,Good,Good,Good,1
605,no,Acceptable,Poor,Good,Acceptable,Poor,Acceptable,0
606,yes,Acceptable,Acceptable,Good,Good,Acceptable,Acceptable,1
609,yes,Good,Good,Poor,Good,Good,Good,1
610,yes,Poor,Poor,Good,Acceptable,Poor,Acceptable,1
611,no,Good,Good,Poor,Good,Good,Good,0
614,yes,Good,Good,Good,Good,Good,Good,1
615,no,Acceptable,Acceptable,Poor,Good,Acceptable,Good,0
616,yes,Poor,Poor,Poor,Good,Poor,Good,1
617,no,Poor,Good,Acceptable,Good,Good,Acceptable,0
618,yes,Poor,Poor,Good,Poor,Poor,Good,1
619,no,Good,Poor,Acceptable,Good,Poor,Poor,0
621,yes,Good,Poor,Good,Acceptable,Poor,Good,1
623,no,Poor,Poor,Good,Good,Poor,Good,0
625,yes,Good,Acceptable,Good,Acceptable,Acceptable,Acceptable,1
632,yes,Good,Good,Good,Poor,Good,Good,1
633,yes,Good,Good,Good,Good,Good,Good,1
640,yes,Poor,Poor,Good,Good,Poor,Good,1
645,yes,Good,Good,Poor,Poor,Good,Poor,1
648,no,Acceptable,Good,Poor,Acceptable,Good,Acceptable,0
650,yes,Good,Good,Good,Good,Good,Acceptable,1
652,no,Poor,Poor,Poor,Good,Poor,Good,0
654,no,Poor,Poor,Acceptable,Poor,Poor,Poor,0
655,no,Acceptable,Acceptable,Good,Good,Acceptable,Poor,0
661,no,Good,Acceptable,Poor,Good,Acceptable,Good,0
662,yes,Good,Good,Good,Good,Good,Good,1
663,yes,Good,Good,Good,Good,Good,Good,1
664,yes,Poor,Poor,Good,Good,Poor,Good,1
665,no,Good,Acceptable,Good,Acceptable,Acceptable,Poor,0
670,no,Acceptable,Acceptable,Good,Acceptable,Acceptable,Good,0
673,no,Poor,Poor,Acceptable,Good,Poor,Good,0
677,no,Poor,Poor,Poor,Acceptable,Poor,Acceptable,0
678,yes,Poor,Poor,Acceptable,Good,Poor,Acceptable,1
680,yes,Good,Good,Poor,Good,Good,Good,1
682,yes,Acceptable,Acceptable,Good,Good,Acceptable,Good,1
683,yes,Good,Good,Good,Good,Good,Good,1
685,yes,Good,Acceptable,Good,Good,Acceptable,Good,1
687,yes,Good,Good,Good,Good,Good,Acceptable,1
688,yes,Good,Poor,Good,Good,Poor,Good,1
691,no,Acceptable,Poor,Acceptable,Acceptable,Poor,Acceptable,0
693,no,Poor,Poor,Good,Good,Poor,Poor,0
695,no,Acceptable,Acceptable,Good,Good,Acceptable,Poor,0
696,no,Poor,Acceptable,Poor,Acceptable,Acceptable,Good,0
700,yes,Good,Good,Good,Acceptable,Good,Acceptable,1
702,yes,Good,Good,Good,Good,Good,Good,1
703,yes,Acceptable,Poor,Good,Good,Poor,Good,1
705,no,Poor,Poor,Poor,Good,Poor,Good,0
706,no,Poor,Poor,Good,Good,Poor,Good,0
707,yes,Poor,Poor,Acceptable,Good,Poor,Good,1
708,yes,Poor,Good,Good,Good,Good,Good,1
712,no,Good,Acceptable,Acceptable,Good,Acceptable,Good,0
713,no,Good,Good,Poor,Acceptable,Good,Poor,0
715,no,Good,Good,Poor,Good,Good,Good,0
719,yes,Poor,Poor,Good,Good,Poor,Good,1
720,no,Poor,Poor,Good,Good,Poor,Good,0
722,no,Poor,Poor,Good,Poor,Poor,Poor,0
723,yes,Good,Poor,Good,Good,Poor,Poor,1
724,no,Poor,Poor,Acceptable,Good,Poor,Acceptable,0
726,yes,Good,Good,Good,Poor,Good,Poor,1
731,yes,Good,Good,Good,Good,Good,Good,1
733,yes,Acceptable,Acceptable,Good,Good,Acceptable,Good,1
735,yes,Acceptable,Acceptable,Good,Good,Acceptable,Good,1
736,yes,Poor,Poor,Good,Good,Poor,Acceptable,1
737,yes,Good,Poor,Good,Good,Poor,Good,1
738,yes,Good,Acceptable,Good,Good,Acceptable,Good,1
739,no,Good,Good,Good,Good,Good,Good,0
741,yes,Good,Good,Good,Good,Good,Good,1
742,no,Poor,Good,Poor,Acceptable,Good,Good,0
744,no,Poor,Poor,Good,Good,Poor,Acceptable,0
745,yes,Acceptable,Acceptable,Good,Acceptable,Acceptable,Poor,1
748,yes,Good,Good,Poor,Poor,Good,Poor,1
749,yes,Good,Good,Poor,Good,Good,Acceptable,1
752,yes,Poor,Poor,Good,Poor,Poor,Poor,1
753,no,Poor,Poor,Acceptable,Acceptable,Poor,Good,0
754,no,Acceptable,Acceptable,Poor,Good,Acceptable,Acceptable,0
755,yes,Poor,Poor,Good,Good,Poor,Good,1
760,no,Acceptable,Acceptable,Acceptable,Good,Acceptable,Good,0
761,no,Poor,Poor,Poor,Good,Poor,Good,0
762,no,Acceptable,Acceptable,Poor,Poor,Acceptable,Acceptable,0
763,no,Acceptable,Acceptable,Good,Acceptable,Acceptable,Poor,0
767,yes,Good,Good,Good,Good,Good,Good,1
770,yes,Poor,Acceptable,Good,Good,Acceptable,Good,1
771,no,Poor,Poor,Acceptable,Good,Poor,Acceptable,0
772,yes,Poor,Poor,Good,Good,Poor,Good,1
773,no,Poor,Poor,Poor,Acceptable,Poor,Acceptable,0
774,yes,Acceptable,Poor,Good,Good,Poor,Good,1
775,no,Poor,Good,Poor,Acceptable,Good,Acceptable,0
779,yes,Acceptable,Acceptable,Good,Good,Acceptable,Good,1
780,yes,Good,Acceptable,Good,Good,Acceptable,Good,1
784,yes,Good,Good,Good,Good,Good,Good,1
787,yes,Poor,Poor,Acceptable,Good,Poor,Good,1
788,yes,Poor,Poor,Good,Good,Poor,Good,1
791,yes,Acceptable,Acceptable,Good,Poor,Acceptable,Poor,1
792,no,Acceptable,Acceptable,Poor,Good,Acceptable,Good,0
793,no,Poor,Poor,Poor,Acceptable,Poor,Good,0
794,no,Poor,Poor,Good,Good,Poor,Acceptable,0
795,no,Poor,Poor,Good,Acceptable,Poor,Poor,0
796,no,Poor,Poor,Poor,Acceptable,Poor,Acceptable,0
800,no,Poor,Poor,Good,Good,Poor,Poor,0
802,yes,Poor,Poor,Good,Good,Poor,Good,1
805,no,Good,Good,Poor,Acceptable,Good,Poor,0
807,yes,Good,Good,Poor,Good,Good,Good,1
809,no,Poor,Poor,Good,Good,Poor,Good,0
810,yes,Poor,Poor,Good,Acceptable,Poor,Acceptable,1
811,no,Poor,Good,Good,Poor,Good,Poor,0
812,no,Acceptable,Acceptable,Poor,Acceptable,Acceptable,Acceptable,0
814,yes,Good,Good,Poor,Good,Good,Good,1
815,yes,Acceptable,Acceptable,Good,Good,Acceptable,Good,1
816,yes,Acceptable,Acceptable,Good,Acceptable,Acceptable,Poor,1
817,yes,Good,Acceptable,Good,Good,Acceptable,Good,1
818,no,Poor,Good,Poor,Acceptable,Good,Good,0
819,no,Poor,Poor,Good,Good,Poor,Good,0
820,yes,Good,Good,Good,Acceptable,Good,Poor,1
825,no,Acceptable,Poor,Acceptable,Acceptable,Poor,Acceptable,0
828,no,Poor,Poor,Poor,Good,Poor,Good,0
832,no,Good,Good,Good,Acceptable,Good,Poor,0
834,no,Acceptable,Acceptable,Good,Good,Acceptable,Acceptable,0
835,yes,Good,Good,Good,Good,Good,Good,1
838,no,Acceptable,Acceptable,Good,Good,Acceptable,Good,0
842,yes,Good,Good,Good,Good,Good,Good,1
845,no,Poor,Poor,Poor,Good,Poor,Good,0
846,yes,Good,Good,Good,Good,Good,Good,1
847,no,Poor,Poor,Poor,Poor,Poor,Poor,0
849,no,Poor,Good,Poor,Acceptable,Good,Acceptable,0
850,yes,Poor,Poor,Good,Good,Poor,Good,1
851,no,Poor,Poor,Good,Good,Poor,Poor,0
853,no,Acceptable,Acceptable,Acceptable,Poor,Acceptable,Good,0
859,no,Acceptable,Acceptable,Good,Good,Acceptable,Acceptable,0
861,no,Poor,Poor,Good,Good,Poor,Acceptable,0
866,no,Poor,Poor,Poor,Poor,Poor,Acceptable,0
867,yes,Poor,Poor,Good,Good,Poor,Good,1
870,no,Poor,Poor,Acceptable,Acceptable,Poor,Poor,0
871,no,Poor,Poor,Acceptable,Poor,Poor,Poor,0
872,no,Acceptable,Acceptable,Good,Acceptable,Acceptable,Poor,0
873,yes,Poor,Poor,Good,Good,Poor,Good,1
876,no,Good,Poor,Good,Good,Poor,Acceptable,0
877,no,Acceptable,Poor,Acceptable,Acceptable,Poor,Poor,0
878,yes,Good,Good,Good,Good,Good,Good,1
888,yes,Poor,Poor,Acceptable,Good,Poor,Good,1
889,yes,Good,Good,Acceptable,Good,Good,Good,1
898,yes,Good,Good,Poor,Acceptable,Good,Good,1
902,yes,Good,Good,Good,Acceptable,Good,Good,1
903,yes,Poor,Poor,Good,Acceptable,Poor,Acceptable,1
907,no,Acceptable,Acceptable,Poor,Good,Acceptable,Good,0
909,yes,Good,Good,Good,Good,Good,Good,1
914,yes,Good,Good,Good,Good,Good,Good,1
917,yes,Poor,Good,Poor,Poor,Good,Good,1
920,yes,Good,Good,Poor,Good,Good,Good,1
925,no,Poor,Poor,Poor,Good,Poor,Poor,0
929,no,Acceptable,Good,Acceptable,Good,Good,Acceptable,0
930,yes,Good,Good,Good,Poor,Good,Poor,1
931,yes,Good,Good,Good,Good,Good,Good,1
932,no,Poor,Poor,Good,Good,Poor,Poor,0
935,no,Poor,Poor,Good,Good,Poor,Acceptable,0
938,no,Acceptable,Acceptable,Good,Good,Acceptable,Acceptable,0
939,yes,Acceptable,Acceptable,Good,Good,Acceptable,Good,1
941,yes,Acceptable,Acceptable,Poor,Good,Acceptable,Good,1
944,yes,Poor,Poor,Good,Good,Poor,Good,1
946,yes,Good,Good,Good,Good,Good,Good,1
947,no,Poor,Acceptable,Good,Good,Acceptable,Acceptable,0
952,yes,Good,Good,Good,Good,Good,Good,1
957,no,Poor,Poor,Good,Good,Poor,Poor,0
958,no,Good,Good,Poor,Acceptable,Good,Poor,0
962,yes,Acceptable,Acceptable,Good,Good,Acceptable,Good,1
967,yes,Good,Good,Good,Good,Good,Good,1
